CODE,DISPLAY,VERSION
Q45,Other congenital malformations of digestive system,ICD_PM
Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligame",ICD_PM
Q51,Congenital malformations of uterus and cervix,ICD_PM
Q52,Other congenital malformations of female genitalia,ICD_PM
Q53,Undescended testicle,ICD_PM
Q54,Hypospadias,ICD_PM
Q55,Other congenital malformations of male genital organs,ICD_PM
Q56,Indeterminate sex and pseudohermaphroditism,ICD_PM
Q60,Renal agenesis and other reduction defects of kidney,ICD_PM
Q61,Cystic kidney disease,ICD_PM
Q62,Congenital obstructive defects of renal pelvis and congenital malform,ICD_PM
Q63,Other congenital malformations of kidney,ICD_PM
Q64,Other congenital malformations of urinary system,ICD_PM
Q65,Congenital deformities of hip,ICD_PM
Q66,Congenital deformities of feet,ICD_PM
Q67,"Congenital musculoskeletal deformities of head, face, spine and chest",ICD_PM
Q68,Other congenital musculoskeletal deformities,ICD_PM
Q69,Polydactyly,ICD_PM
Q70,Syndactyly,ICD_PM
Q71,Reduction defects of upper limb,ICD_PM
Q72,Reduction defects of lower limb,ICD_PM
Q73,Reduction defects of unspecified limb,ICD_PM
Q74,Other congenital malformations of limb(s),ICD_PM
Q75,Other congenital malformations of skull and face bones,ICD_PM
Q76,Congenital malformations of spine and bony thorax,ICD_PM
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spi,ICD_PM
Q78,Other osteochondrodysplasias,ICD_PM
Q79,"Congenital malformations of the musculoskeletal system, not elsewhere",ICD_PM
Q80,Congenital ichthyosis,ICD_PM
Q81,Epidermolysis bullosa,ICD_PM
Q82,Other congenital malformations of skin,ICD_PM
Q83,Congenital malformations of breast,ICD_PM
Q84,Other congenital malformations of integument,ICD_PM
Q85,"Phakomatoses, not elsewhere classified",ICD_PM
Q86,"Congenital malformation syndromes due to known exogenous causes, not",ICD_PM
Q87,Other specified congenital malformation syndromes affecting multiple,ICD_PM
Q89,"Other congenital malformations, not elsewhere classified",ICD_PM
Q90,Down syndrome,ICD_PM
Q91,Edwards syndrome and Patau syndrome,ICD_PM
Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere",ICD_PM
Q93,"Monosomies and deletions from the autosomes, not elsewhere classified",ICD_PM
Q95,"Balanced rearrangements and structural markers, not elsewhere classif",ICD_PM
Q96,Turner syndrome,ICD_PM
Q97,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified",ICD_PM
Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified",ICD_PM
Q99,"Other chromosome abnormalities, not elsewhere classified",ICD_PM
N2,Disorders related to length of gestation and fetal growth ,
P05,Slow fetal growth and fetal malnutrition,ICD_PM
P05.0,Light for gestational age,ICD_PM
P05.1,Small for gestational age,ICD_PM
P05.2,Fetal malnutrition without mention of light or small for gestational age,ICD_PM
P05.9,"Slow fetal growth, unspecified",ICD_PM
P08,Disorders related to long gestation and high birth weight,ICD_PM
P08.0,Exceptionally large baby,ICD_PM
P08.1,Other heavy for gestational age infants,ICD_PM
P08.2,"Post-term infant, not heavy for gestational age",ICD_PM
N3,Birth trauma,
P10,Intracranial laceration and haemorrhage due to birth injury,ICD_PM
P10.0,Subdural haemorrhage due to birth injury,ICD_PM
P10.1,Cerebral haemorrhage due to birth injury,ICD_PM
P10.2,Intraventricular haemorrhage due to birth injury,ICD_PM
P10.3,Subarachnoid haemorrhage due to birth injury,ICD_PM
P10.4,Tentorial tear due to birth injury,ICD_PM
P10.8,Other intracranial lacerations and haemorrhages due to birth injury,ICD_PM
P10.9,Unspecified intracranial laceration and haemorrhage due to birth injury,ICD_PM
P11,Other birth injuries to central nervous system,ICD_PM
P11.0,Cerebral oedema due to birth injury,ICD_PM
P11.1,Other specified brain damage due to birth injury,ICD_PM
P11.2,Unspecified brain damage due to birth injury,ICD_PM
P11.5,Birth injury to spine and spinal cord,ICD_PM
P11.9,"Birth injury to central nervous system, unspecified",ICD_PM
