CODE,DISPLAY,VERSION
8170/3,"Liver cell carcinoma",ICDO3_2nd
8171/3,"Hepatocellular carcinoma, fibrolamellar",ICDO3_2nd
8172/3,"Hepatocellular carcinoma, scirrhous",ICDO3_2nd
8172/3,"Sclerosing hepatic carcinoma",ICDO3_2nd
8173/3,"Hepatocellular carcinoma, spindle cell variant",ICDO3_2nd
8173/3,"Hepatocellular carcinoma, sarcomatoid",ICDO3_2nd
8174/3,"Hepatocellular carcinoma, clear cell type",ICDO3_2nd
8175/3,"Hepatocellular carcinoma, pleomorphic type",ICDO3_2nd
8180/3,"Combined hepatocellular carcinoma and cholangiocarcinoma",ICDO3_2nd
8180/3,Hepatocholangiocarcinoma,ICDO3_2nd
8180/3,"Mixed hepatocellular and bile duct carcinoma",ICDO3_2nd
8190/0,"Trabecular adenoma",ICDO3_2nd
8190/3,"Trabecular adenocarcinoma",ICDO3_2nd
8190/3,"Trabecular carcinoma",ICDO3_2nd
8191/0,"Embryonal adenoma",ICDO3_2nd
8200/0,"Eccrine dermal cylindroma",ICDO3_2nd
8200/0,"Cylindroma of skin",ICDO3_2nd
8200/0,"Cylindroma of breast",ICDO3_2nd
8200/0,"Turban tumor",ICDO3_2nd
8200/3,"Adenoid cystic carcinoma",ICDO3_2nd
8200/3,"Cylindroma, NOS",ICDO3_2nd
8200/3,"Adenocarcinoma, cylindroid",ICDO3_2nd
8200/3,"Adenocystic carcinoma",ICDO3_2nd
8200/3,"Bronchial adenoma, cylindroid",ICDO3_2nd
8200/3,"Thymic carcinoma with adenoid cystic carcinoma-like features",ICDO3_2nd
8201/2,"Cribriform carcinoma in situ",ICDO3_2nd
8201/2,"Ductal carcinoma in situ, cribriform type",ICDO3_2nd
8201/3,"Cribriform carcinoma, NOS",ICDO3_2nd
8201/3,"Ductal carcinoma, cribriform type",ICDO3_2nd
8201/3,"Cribriform comedo type carcinoma",ICDO3_2nd
8201/3,"Adenocarcinoma, cribriform comedo type",ICDO3_2nd
8202/0,"Microcystic adenoma",ICDO3_2nd
8204/0,"Lactating adenoma",ICDO3_2nd
8210/0,"Adenomatous polyp, NOS",ICDO3_2nd
8210/0,"Polypoid adenoma",ICDO3_2nd
8210/2,"Adenocarcinoma in situ in adenomatous polyp",ICDO3_2nd
8210/2,"Adenocarcinoma in situ in polyp, NOS",ICDO3_2nd
8210/2,"Carcinoma in situ in polyp, NOS",ICDO3_2nd
8210/2,"Adenocarcinoma in situ in polypoid adenoma",ICDO3_2nd
8210/2,"Adenocarcinoma in situ in tubular adenoma",ICDO3_2nd
8210/2,"Carcinoma in situ in adenomatous polyp",ICDO3_2nd
8210/3,"Adenocarcinoma in adenomatous polyp",ICDO3_2nd
8210/3,"Adenocarcinoma in polyp, NOS",ICDO3_2nd
8210/3,"Carcinoma in polyp, NOS",ICDO3_2nd
8210/3,"Adenocarcinoma in polypoid adenoma",ICDO3_2nd
8210/3,"Adenocarcinoma in tubular adenoma",ICDO3_2nd
8210/3,"Carcinoma in adenomatous polyp",ICDO3_2nd
8211/0,"Tubular adenoma, NOS",ICDO3_2nd
8211/3,"Tubular adenocarcinoma",ICDO3_2nd
8211/3,"Tubular carcinoma",ICDO3_2nd
8212/0,"Flat adenoma",ICDO3_2nd
8213/0,"Serrated adenoma, NOS",ICDO3_2nd
8213/0,"Traditional serrated adenoma",ICDO3_2nd
8213/0,"Mixed adenomatous and hyperplastic polyp",ICDO3_2nd
8213/0,"Sessile serrated adenoma, NOS",ICDO3_2nd
8213/0,"Sessile serrated polyp",ICDO3_2nd
8213/0,"Traditional sessile serrated adenoma",ICDO3_2nd
