LEVEL,CODE,DISPLAY,VERSION
,M40.10,"Other secondary kyphosis, multiple sites in spine",ICD_MM
,M40.11,"Other secondary kyphosis, occipito-atlanto-axial region",ICD_MM
,M40.12,"Other secondary kyphosis, cervical region",ICD_MM
,M40.13,"Other secondary kyphosis, cervicothoracic region",ICD_MM
,M40.14,"Other secondary kyphosis, thoracic region",ICD_MM
,M40.15,"Other secondary kyphosis, thoracolumbar region",ICD_MM
,M40.16,"Other secondary kyphosis, lumbar region",ICD_MM
,M40.17,"Other secondary kyphosis, lumbosacral region",ICD_MM
,M40.18,"Other secondary kyphosis, sacral and sacrococcygeal region",ICD_MM
,M40.19,"Other secondary kyphosis, site unspecified",ICD_MM
,M40.2,Other and unspecified kyphosis,ICD_MM
,M40.20,"Other and unspecified kyphosis, multiple sites in spine",ICD_MM
,M40.21,"Other and unspecified kyphosis, occipito-atlanto-axial region",ICD_MM
,M40.22,"Other and unspecified kyphosis, cervical region",ICD_MM
,M40.23,"Other and unspecified kyphosis, cervicothoracic region",ICD_MM
,M40.24,"Other and unspecified kyphosis, thoracic region",ICD_MM
,M40.25,"Other and unspecified kyphosis, thoracolumbar region",ICD_MM
,M40.26,"Other and unspecified kyphosis, lumbar region",ICD_MM
,M40.27,"Other and unspecified kyphosis, lumbosacral region",ICD_MM
,M40.28,"Other and unspecified kyphosis, sacral and sacrococcygeal region",ICD_MM
,M40.29,"Other and unspecified kyphosis, site unspecified",ICD_MM
,M40.3,Flatback syndrome,ICD_MM
,M40.30,"Flatback syndrome, multiple sites in spine",ICD_MM
,M40.31,"Flatback syndrome, occipito-atlanto-axial region",ICD_MM
,M40.32,"Flatback syndrome, cervical region",ICD_MM
,M40.33,"Flatback syndrome, cervicothoracic region",ICD_MM
,M40.34,"Flatback syndrome, thoracic region",ICD_MM
,M40.35,"Flatback syndrome, thoracolumbar region",ICD_MM
,M40.36,"Flatback syndrome, lumbar region",ICD_MM
,M40.37,"Flatback syndrome, lumbosacral region",ICD_MM
,M40.38,"Flatback syndrome, sacral and sacrococcygeal region",ICD_MM
,M40.39,"Flatback syndrome, site unspecified",ICD_MM
,M40.4,Other lordosis,ICD_MM
,M40.40,"Other lordosis, multiple sites in spine",ICD_MM
,M40.41,"Other lordosis, occipito-atlanto-axial region",ICD_MM
,M40.42,"Other lordosis, cervical region",ICD_MM
,M40.43,"Other lordosis, cervicothoracic region",ICD_MM
,M40.44,"Other lordosis, thoracic region",ICD_MM
,M40.45,"Other lordosis, thoracolumbar region",ICD_MM
,M40.46,"Other lordosis, lumbar region",ICD_MM
,M40.47,"Other lordosis, lumbosacral region",ICD_MM
,M40.48,"Other lordosis, sacral and sacrococcygeal region",ICD_MM
,M40.49,"Other lordosis, site unspecified",ICD_MM
,M40.5,"Lordosis, unspecified",ICD_MM
,M40.50,"Lordosis unspecified, multiple sites in spine",ICD_MM
,M40.51,"Lordosis, unspecified, occipito-atlanto-axial region",ICD_MM
,M40.52,"Lordosis, unspecified, cervical region",ICD_MM
